TERRITORY,PRODUCT FAMILY,Forecast - Sep-21,Actual Sales - Sep-21,Variance1,Type1,SEP APE%,SEP Category,Forecast - Oct 21,Actual Sales - Oct 21,Variance2,Type2,OCT Abs Per Error,OCT Category,2M-MAPE %,Category
"PUNJAB, CHDH, HP, J&K",ML110SS,352,120,232,Short,193.3333333,C,253,48,205,Short,427.0833333,C,310.2083333,C
"PUNJAB, CHDH, HP, J&K",ML166SS,180,180,0,OK,0,A,163,340,177,Excess,52.05882353,B,26.02941176,A
"PUNJAB, CHDH, HP, J&K",MP360SS,269,0,269,Short,500,D,155,240,85,Excess,35.41666667,A,267.7083333,C
"PUNJAB, CHDH, HP, J&K",MP460NI,900,240,660,Short,275,C,196,720,524,Excess,72.77777778,B,173.8888889,C
"PUNJAB, CHDH, HP, J&K","ONIX-10""",4,0,4,Short,500,D,24,32,8,Excess,25,A,262.5,C
"PUNJAB, CHDH, HP, J&K",ONIX-WR,22,32,10,Excess,31.25,A,61,64,3,Excess,4.6875,A,17.96875,A
"PUNJAB, CHDH, HP, J&K",PHA303NS,19,168,149,Excess,88.69047619,B,0,68,68,Excess,100,D,94.3452381,B
"PUNJAB, CHDH, HP, J&K",TRAORGMHG,21,100,79,Excess,79,B,10,195,185,Excess,94.87179487,B,86.93589744,B
"PUNJAB, CHDH, HP, J&K",ZOVI-08CY,330,300,30,Short,10,A,321,484,163,Excess,33.67768595,A,21.83884298,A
"PUNJAB, CHDH, HP, J&K",ZOVI-WR,171,148,23,Short,15.54054054,A,100,244,144,Excess,59.01639344,B,37.27846699,A
Grand Total,,46061,37277,39708,,,,30360,58445,,,,,,
,,,,,AVG MAPE,,,,,,AVG,,,,
